Source,Target,Weight
苏晨,吴琨,28
苏晨,李义,24
苏晨,林泉,4
苏晨,陈欣,93
苏晨,陈捷,56
苏晨,苏望,4
苏晨,王氏,2
苏晨,林海,36
苏晨,王惠忠,30
苏晨,林大哥,2
苏晨,王明,48
苏晨,王老板,8
苏晨,马六,21
苏晨,刘欣,49
苏晨,张茜,25
苏晨,刘子健,29
苏晨,王老师,11
苏晨,周康,12
苏晨,李学良,32
苏晨,高升,3
苏晨,祖师爷,5
苏晨,惠忠,2
苏晨,王子,3
苏晨,师傅,18
苏晨,香亦旺,3
苏晨,肖胜兴,2
苏晨,刘善喜,27
苏晨,林淮,7
苏晨,刘伯,5
吴琨,苏晨,28
吴琨,李义,11
吴琨,周康,4
李义,苏晨,24
李义,吴琨,11
李义,林泉,2
李义,苏望,3
李义,周康,6
林泉,戚叔,3
林泉,小泉,5
林泉,苏晨,4
林泉,李义,2
戚叔,林泉,3
小泉,林泉,5
陈欣,苏晨,93
陈欣,陈捷,18
陈欣,苏望,3
陈欣,刘子健,13
陈欣,王明,2
陈欣,林淮,3
陈欣,张茜,2
陈欣,刘欣,2
陈捷,苏晨,56
陈捷,陈欣,18
陈捷,陈小姐,2
陈捷,林淮,14
陈捷,刘善喜,3
苏望,陈欣,3
苏望,苏晨,4
苏望,林海,4
苏望,王惠忠,2
苏望,李义,3
王氏,苏晨,2
林海,苏晨,36
林海,王惠忠,13
林海,苏望,4
林海,林大哥,2
王惠忠,林海,13
王惠忠,苏晨,30
王惠忠,苏望,2
林大哥,苏晨,2
林大哥,林海,2
王明,苏晨,48
王明,王老板,4
王明,马六,12
王明,陈欣,2
王明,李学良,2
王明,鲁班,2
王明,惠忠,2
王老板,苏晨,8
王老板,王明,4
王老板,马六,6
惠忠,祖师爷,2
惠忠,苏晨,2
惠忠,王明,2
祖师爷,惠忠,2
祖师爷,苏晨,5
马六,王明,12
马六,苏晨,21
马六,鲁班,2
马六,王老板,6
鲁班,马六,2
鲁班,王明,2
刘欣,苏晨,49
刘欣,张茜,54
刘欣,林淮,2
刘欣,陈欣,2
张茜,刘欣,54
张茜,苏晨,25
张茜,林淮,2
张茜,陈欣,2
刘子健,陈欣,13
刘子健,苏晨,29
刘子健,李学良,8
王老师,苏晨,11
王老师,李学良,4
王老师,高升,2
周康,李义,6
周康,苏晨,12
周康,吴琨,4
李学良,刘子健,8
李学良,苏晨,32
李学良,王老师,4
李学良,王明,2
高升,王老师,2
高升,苏晨,3
王子,师傅,10
王子,苏晨,3
王子,张元岩,3
师傅,王子,10
师傅,张子阳,3
师傅,张元岩,3
师傅,苏晨,18
师傅,香亦旺,2
张子阳,师傅,3
张元岩,王子,3
张元岩,师傅,3
香亦旺,苏晨,3
香亦旺,师傅,2
陈小姐,陈捷,2
林淮,陈捷,14
林淮,陈欣,3
林淮,苏晨,7
林淮,张茜,2
林淮,刘欣,2
肖胜兴,苏晨,2
刘善喜,苏晨,27
刘善喜,陈捷,3
林若生,林先生,2
林先生,林若生,2
刘伯,苏晨,5
